Title,Description,Category,Condition,Estimated Median Sale Price,Photo Files,eBay - Brand,eBay - Type,eBay - Material,eBay - Color,eBay - Country/Region of Manufacture,Quantity
Mary Rose Young Signed Ceramic Lidded Jar with Rose Topper (1992),"Vibrant hand-painted ceramic lidded jar by renowned British artist Mary Rose Young, dated 1992. Features her signature whimsical striped pattern in bold colors with a sculpted purple rose finial on the lid. Signed on the base. A collectible statement piece ideal for display or functional use.",Home > Home Décor > Decorative Accessories > Decorative Jars,Very Good,95,"IMG_4700.jpeg, IMG_4701.jpeg, IMG_4702.jpeg",Mary Rose Young,Jar,Ceramic,Multicolor,UK,1
Vintage Doraemon “I Grow Bigger!” Hong Kong Calculator (BIG-08),"Rare novelty vintage calculator featuring a 3D Doraemon figure with the phrase “I grow bigger!” across the top. Model BIG-08, made in Hong Kong, and designed for two G-10 size batteries (not included). A fun and collectible retro item with light wear consistent with age.",Electronics > Vintage Electronics > Calculators,Good,25,"IMG_4705.jpeg, IMG_4706.jpeg",Unbranded,Calculator,Plastic,Blue,Hong Kong,1
Levi’s Vintage Silver Key Clip Fob | Made in Italy (Style 4704),"Unused Levi’s silver-tone key clip/fob featuring a hinged design and classic Levi Strauss & Co. branding. Style 4704, made in Italy. Comes on original Levi’s card backing. A collectible accessory with retro appeal and durable build.",Accessories > Keychains & Key Fobs,New,22,"IMG_4707.jpeg, IMG_4708.jpeg",Levi's,Key Clip,Metal,Silver,Italy,1
"Lot of 3 Vintage Silver Steel Binder Book Rings (1.5""–2.5"") with Latch Clasp","Set of three vintage-style metal book/binder rings in graduating sizes (approx. 1.5"", 2"", and 2.5""). Each features a locking clasp mechanism. Ideal for organizing paper, crafts, swatches, or repurposing for industrial or steampunk projects. Light patina consistent with age.",Office Supplies > Filing & Organization > Binder Accessories,Good,12,"IMG_4709.jpeg, IMG_4710.jpeg",Unbranded,Binder Rings,Metal,Silver,Unknown,1
"Levi’s Genuine Leather Patch Keychain with Logo Embossing – 2.5""","Classic Levi’s keychain made from genuine leather, featuring the iconic Levi Strauss & Co. branding embossed on the front and stitched edges. Measures approximately 2.5"" across. Metal split ring attached. Perfect accessory for denim lovers and Levi’s collectors.",Accessories > Keychains & Key Fobs,Very Good,18,"IMG_4711.jpeg, IMG_4712.jpeg",Levi's,Keychain,Leather,Brown,USA,1
Vintage TWA Constellation Playing Cards – Plastic Coated Deck,"Vintage TWA (Trans World Airlines) souvenir playing card deck featuring a Lockheed Constellation aircraft illustration by artist A. Volckmerg on the box. Standard size, plastic coated, with colorful jokers. A nostalgic collectible for aviation enthusiasts or retro travel memorabilia collectors.",Collectibles > Transportation > Aviation > Airline Memorabilia,New,20,"IMG_4713.jpeg, IMG_4714.jpeg",TWA,Playing Cards,Plastic Coated,Multicolor,USA,1
"Vintage TWA Airline Wings Pin | Red Globe Logo & Laurel Wreath (2"")","Classic Trans World Airlines (TWA) collectible pilot wings pin featuring silver-tone wings, a globe with laurel wreath, and bold red TWA lettering. Approx. 2"" wide with working clasp. A must-have for aviation memorabilia collectors.",Collectibles > Transportation > Aviation > Airline Pins & Badges,Very Good,18,"IMG_4715.jpeg, IMG_4716.jpeg",TWA,Pin,Metal,Silver,USA,1
"Lot of 4 Vintage Levi’s Lapel Pins – Red Tab, XX Shirts, 501 Logo","Mixed lot of 4 vintage Levi’s branded enamel pins including the iconic red tab logo, vertical Levi’s tab, XX Shirts “Finest Quality” pin, and a gold-tone 501 pin in original packaging. All have original butterfly clutch backs. Great for collectors or denim brand enthusiasts.",Collectibles > Advertising > Retail > Clothing & Fashion > Pins,Very Good,28,"IMG_4717.jpeg, IMG_4718.jpeg, IMG_4719.jpeg, IMG_4720.jpeg, IMG_4721.jpeg",Levi's,Pin,Enamel/Metal,Multicolor,USA,1
Vintage TWA Liberty Playing Cards – Red Stripe Boeing 767 Deck,Full deck of vintage Liberty brand playing cards featuring a TWA Boeing 767 with red stripe livery on the card backs. Made in the USA. Shows light edge wear from use but complete and very collectible for airline memorabilia fans.,Collectibles > Transportation > Aviation > Airline Memorabilia,Good,15,"IMG_4722.jpeg, IMG_4723.jpeg",TWA,Playing Cards,Cardstock,Blue,USA,1
Vintage TWA Chrome Airplane Seatbelt Buckle,Authentic vintage chrome seatbelt buckle from a TWA airplane. Aviation collectible with working latch mechanism. Ideal for aviation enthusiasts or repurposing.,Collectibles > Transportation > Aviation > Airline,Very Good,18,"IMG_4724.jpeg, IMG_4725.jpeg",TWA,Seatbelt Buckle,Chrome,Silver,United States,1
